codigo pais m49,codigo iso3,pais origen,anio,capitulo,valor dolares cif,valor dolares cif log,continente,region,bloque economico
152,CHL,Chile,2025,"Papel, cartón y sus manufacturas",38517304.31,7.585655885,América,Sudamérica,OCDE
152,CHL,Chile,2025,TOTAL,877935812.52,8.943462765,América,Sudamérica,OCDE
156,CHN,China,2025,Abonos,170995394.31,8.232984413,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Algodón,215384856.15,8.333215165,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Aparatos y material eléctrico, de grabación o imagen",4335715597.54,9.637060787,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Calzado, botines, artículos análogos y partes",304069669.99,8.482973103,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Caucho y manufacturas,477282264.73,8.678775297,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Cobre y sus manufacturas,32350366.93,7.509879211,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Disposiciones de tratamiento especial,354703161.01,8.549865059,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Extractos curtientes, pinturas, tintas",110681821.75,8.044076299,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Fundición, hierro y acero",855641144.73,8.93229166,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Instrumentos y aparatos de óptica, fotografía, cinematografía",449599862.16,8.652826169,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Manufactura de fundición, de hierro o acero",520300519.26,8.716254259,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Materias plásticas y manufacturas,998320497.19,8.999269988,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Navegación aérea o espacial,23554171.1,7.372067825,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Papel, cartón y sus manufacturas",201361012.57,8.303975386,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Productos diversos de las industrias químicas,320315832.87,8.505578406,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Productos químicos inorgánicos,161820210.17,8.209032761,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Productos químicos orgánicos,749077864.74,8.874526964,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Reactores nucleares, calderas, máquinas y partes",3215872613.77,9.507298837,Asia,Asia Oriental,BRICS
156,CHN,China,2025,Residuos industrias alimentarias. Alimentos para animales,15104158.0,7.17909652,Asia,Asia Oriental,BRICS
156,CHN,China,2025,TOTAL,19375905713.9,10.28726201,Asia,Asia Oriental,BRICS
156,CHN,China,2025,"Vehículos, partes y accesorios",1580149234.62,9.198698105,Asia,Asia Oriental,BRICS
196,CYP,Chipre,2025,TOTAL,1250896.37,6.097221332,Europa,Europa Meridional,
170,COL,Colombia,2025,TOTAL,212839563.11,8.328052359,América,Sudamérica,OCDE
178,COG,Congo,2025,TOTAL,8899.86,3.949383175,África,Resto de África,
188,CRI,Costa Rica,2025,TOTAL,93747686.64,7.97196056,América,Centroamérica y Caribe,OCDE
384,CIV,Costa de Marfil,2025,TOTAL,2029645.56,6.307420203,África,Resto de África,
191,HRV,Croacia,2025,TOTAL,2316243.26,6.364784169,Europa,Europa Meridional,
192,CUB,Cuba,2025,TOTAL,1806462.17,6.256828871,América,Centroamérica y Caribe,
531,CUW,Curazao,2025,TOTAL,475915.21,5.677529585,América,Centroamérica y Caribe,
208,DNK,Dinamarca,2025,TOTAL,244031043.43,8.387445077,Europa,Europa Septentrional,OCDE
262,DJI,Djibouti,2025,TOTAL,10081.15,4.003510077,África,Resto de África,
212,DMA,Dominica,2025,TOTAL,6558.92,3.816832334,América,Centroamérica y Caribe,
218,ECU,Ecuador,2025,Algodón,6320917.17,6.800780099,América,Sudamérica,CAN
218,ECU,Ecuador,2025,"Calzado, botines, artículos análogos y partes",15227205.67,7.182620214,América,Sudamérica,CAN
218,ECU,Ecuador,2025,Caucho y manufacturas,14469887.6,7.160465158,América,Sudamérica,CAN
218,ECU,Ecuador,2025,Grasas y aceites animales o vegetales,119846778.87,8.078626366,América,Sudamérica,CAN
218,ECU,Ecuador,2025,"Manufactura de fundición, de hierro o acero",39870771.1,7.600654635,América,Sudamérica,CAN
218,ECU,Ecuador,2025,Materias plásticas y manufacturas,41274535.08,7.61568219,América,Sudamérica,CAN
218,ECU,Ecuador,2025,"Papel, cartón y sus manufacturas",22108500.86,7.344559295,América,Sudamérica,CAN
218,ECU,Ecuador,2025,Residuos industrias alimentarias. Alimentos para animales,15461784.88,7.189259627,América,Sudamérica,CAN
218,ECU,Ecuador,2025,TOTAL,857912118.52,8.933442803,América,Sudamérica,CAN
818,EGY,Egipto,2025,TOTAL,21443201.07,7.331289618,África,Norte de África,BRICS
222,SLV,El Salvador,2025,TOTAL,12574947.36,7.099506176,América,Centroamérica y Caribe,
